      Step     Time          Energy          fmax
BFGS:    0 08:47:13       62.439301      462.037776
BFGS:    1 09:03:24      -57.411585      127.763972
BFGS:    2 09:16:13      -69.861594      132.221795
BFGS:    3 09:29:04      -85.333476       71.452005
BFGS:    4 09:41:59      -94.277508       38.048731
BFGS:    5 09:53:36      -99.895434       20.174255
BFGS:    6 10:06:04     -103.109515        8.886753
BFGS:    7 10:17:07     -104.910693        4.554345
BFGS:    8 10:30:05     -106.096539        2.985784
BFGS:    9 10:42:03     -106.589836        2.273195
BFGS:   10 10:53:07     -106.965058        2.519212
BFGS:   11 11:03:41     -107.282781        2.289181
BFGS:   12 11:14:41     -107.551433        1.751491
BFGS:   13 11:23:51     -107.717580        1.359705
BFGS:   14 11:33:31     -107.846040        1.288648
BFGS:   15 11:41:30     -107.900397        0.983935
BFGS:   16 11:50:22     -107.952966        0.632014
BFGS:   17 11:58:04     -107.983535        0.576711
BFGS:   18 12:07:15     -108.015013        0.585442
BFGS:   19 12:15:11     -108.035422        0.563629
BFGS:   20 12:23:29     -108.059205        0.674987
BFGS:   21 12:32:44     -108.094540        1.124531
BFGS:   22 12:44:34     -108.222439        2.687808
BFGS:   23 12:56:15     -108.077055        4.510065
BFGS:   24 13:06:48     -108.460058        2.535723
BFGS:   25 13:15:11     -108.674100        2.458912
BFGS:   26 13:25:42     -109.195582        1.748923
BFGS:   27 13:34:37     -109.336841        1.648344
BFGS:   28 13:44:19     -109.549441        1.542845
BFGS:   29 13:54:44     -109.842675        1.764240
BFGS:   30 14:05:08     -110.114724        2.231988
BFGS:   31 14:15:00     -110.397369        2.875027
BFGS:   32 14:25:25     -110.782827        2.953620
BFGS:   33 14:35:48     -111.318351        2.629577
BFGS:   34 14:47:28     -111.824159        2.812329
BFGS:   35 14:59:36     -112.637032        2.736760
BFGS:   36 15:10:01     -112.972578        2.430800
BFGS:   37 15:20:47     -113.516824        2.114427
BFGS:   38 15:31:02     -113.936320        1.432881
BFGS:   39 15:40:19     -114.089802        1.325707
BFGS:   40 15:49:07     -114.206005        0.949246
BFGS:   41 15:57:33     -114.244387        0.513241
BFGS:   42 16:05:05     -114.262850        0.289748
BFGS:   43 16:11:50     -114.272782        0.259916
BFGS:   44 16:19:28     -114.279709        0.241178
BFGS:   45 16:26:00     -114.284108        0.200256
BFGS:   46 16:32:34     -114.286668        0.114668
BFGS:   47 16:37:39     -114.287583        0.068512
BFGS:   48 16:42:34     -114.287960        0.047146
BFGS:   49 16:47:00     -114.288148        0.033852
BFGS:   50 16:50:58     -114.288253        0.025374
BFGS:   51 16:54:31     -114.288299        0.019881
BFGS:   52 16:57:41     -114.288317        0.018835
BFGS:   53 17:01:27     -114.288328        0.017880
BFGS:   54 17:03:24     -114.288335        0.022654
BFGS:   55 17:14:57     -113.700034        2.198530
BFGS:   56 17:27:31     -114.288021        0.068621
BFGS:   57 17:32:12     -114.288179        0.045848
BFGS:   58 17:36:25     -114.288255        0.033174
BFGS:   59 17:41:04     -114.288341        0.026442
BFGS:   60 17:44:48     -114.288387        0.017469
BFGS:   61 17:49:00     -114.288427        0.009060
