      Step     Time          Energy          fmax
BFGS:    0 18:25:06      -28.581802      265.899059
BFGS:    1 18:40:00      -83.464752       55.505555
BFGS:    2 18:53:07      -95.001038       40.303204
BFGS:    3 19:05:35     -101.794271       28.136291
BFGS:    4 19:17:01     -106.156168       16.009617
BFGS:    5 19:28:33     -109.362938        6.093555
BFGS:    6 19:41:48     -111.413831        6.173567
BFGS:    7 19:53:47     -112.703245        3.550736
BFGS:    8 20:04:43     -113.447497        2.158108
BFGS:    9 20:15:55     -114.246163        2.406793
BFGS:   10 20:26:57     -114.595614        2.028506
BFGS:   11 20:39:20     -115.113176        2.246207
BFGS:   12 20:51:03     -115.468566        2.060538
BFGS:   13 21:02:20     -115.949358        2.545539
BFGS:   14 21:13:20     -116.324644        2.679507
BFGS:   15 21:23:26     -116.687326        2.451331
BFGS:   16 21:33:45     -116.865721        2.223485
BFGS:   17 21:47:00     -116.984747        2.178125
BFGS:   18 21:57:06     -117.056943        2.344574
BFGS:   19 22:06:37     -117.121294        2.332042
BFGS:   20 22:15:40     -117.174527        2.145308
BFGS:   21 22:25:52     -117.223812        1.771647
BFGS:   22 22:34:36     -117.266284        1.423947
BFGS:   23 22:43:34     -117.307677        1.162715
BFGS:   24 22:51:46     -117.348101        0.889845
BFGS:   25 23:01:11     -117.384240        0.654868
BFGS:   26 23:09:54     -117.414301        0.506218
BFGS:   27 23:18:30     -117.438973        0.387634
BFGS:   28 23:26:12     -117.455881        0.274345
BFGS:   29 23:33:08     -117.464433        0.222458
BFGS:   30 23:42:01     -117.470704        0.160322
BFGS:   31 23:49:40     -117.474352        0.146223
BFGS:   32 23:56:40     -117.477016        0.090743
BFGS:   33 00:03:07     -117.478061        0.068046
BFGS:   34 00:08:14     -117.478705        0.061458
BFGS:   35 00:13:21     -117.479093        0.051969
BFGS:   36 00:18:29     -117.479413        0.038751
BFGS:   37 00:22:13     -117.479557        0.026225
BFGS:   38 00:25:59     -117.479642        0.025337
BFGS:   39 00:29:45     -117.479703        0.022037
BFGS:   40 00:33:28     -117.479737        0.016337
BFGS:   41 00:37:11     -117.479755        0.012672
BFGS:   42 00:40:56     -117.479769        0.009404
