      Step     Time          Energy          fmax
BFGS:    0 01:00:37       24.073333      319.047956
      Step     Time          Energy          fmax
BFGS:    0 01:28:41       24.073333      319.047956
BFGS:    1 01:44:26      -58.986504       87.457535
BFGS:    2 01:58:52      -77.120405       73.670132
BFGS:    3 02:12:06      -90.011350       35.025225
BFGS:    4 02:25:30      -98.074555       17.560460
BFGS:    5 02:37:40     -101.783527        7.780972
BFGS:    6 02:49:48     -103.641907        5.236875
BFGS:    7 03:01:54     -104.902078        5.556341
BFGS:    8 03:13:54     -106.032073        6.195525
BFGS:    9 03:27:01     -107.292820        6.734039
BFGS:   10 03:39:18     -108.363245        5.599688
BFGS:   11 03:50:33     -108.951270        4.987201
BFGS:   12 04:02:59     -109.753930        3.861771
BFGS:   13 04:14:25     -110.055468        3.147598
BFGS:   14 04:27:29     -110.220851        2.690467
BFGS:   15 04:38:54     -110.301982        2.444826
BFGS:   16 04:48:17     -110.389961        2.172740
BFGS:   17 04:57:16     -110.456253        2.052672
BFGS:   18 05:06:19     -110.503888        2.015016
BFGS:   19 05:17:48     -110.539142        1.932164
BFGS:   20 05:30:25     -110.578457        1.755595
BFGS:   21 05:38:58     -110.624852        1.464207
BFGS:   22 05:47:30     -110.679937        1.065993
BFGS:   23 05:58:01     -110.729252        0.707449
